Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,86.089996,86.160004,85.660004,85.809998,64.012772,2066800
2017-06-07,85.809998,86.239998,85.580002,86.089996,64.221657,3025100
2017-06-08,86.089996,86.089996,84.750000,85.379997,63.691998,2571100
2017-06-09,85.099998,85.750000,84.919998,85.720001,63.945629,2264200
2017-06-12,85.730003,86.190002,85.080002,85.620003,63.871037,3292600
2017-06-13,85.529999,86.050003,85.419998,85.949997,64.117195,2421400
2017-06-14,86.440002,86.839996,86.089996,86.320000,64.393211,2432900
2017-06-15,86.209999,86.959999,86.080002,86.949997,64.863182,2468100
2017-06-16,87.120003,87.489998,86.910004,87.139999,65.004929,4996900
2017-06-19,87.309998,87.309998,86.519997,86.889999,64.818443,2394500
2017-06-20,86.839996,87.050003,86.669998,86.910004,64.833351,2420400
2017-06-21,86.930000,87.139999,86.120003,86.570000,64.579704,1735200
2017-06-22,86.400002,86.730003,86.220001,86.279999,64.363373,2106900
2017-06-23,86.220001,86.599998,85.860001,85.959999,64.124680,1543000
2017-06-26,86.330002,87.050003,85.989998,86.699997,64.676697,2834500
2017-06-27,86.360001,86.540001,85.449997,85.699997,63.930725,2404500
2017-06-28,86.029999,86.080002,84.860001,84.970001,63.386158,3180700
2017-06-29,84.730003,84.730003,83.769997,84.029999,62.684921,3859300
2017-06-30,84.150002,84.419998,83.589996,83.589996,62.356686,3607600
2017-07-03,83.779999,83.839996,83.160004,83.309998,62.147808,1705900
2017-07-05,83.320000,83.489998,82.720001,83.290001,62.132893,3530000
2017-07-06,83.099998,83.300003,82.769997,83.209999,62.073223,2801800
2017-07-07,83.220001,83.750000,83.089996,83.419998,62.229866,2531400
2017-07-10,83.580002,83.820000,83.160004,83.190002,62.058304,1833900
2017-07-11,83.370003,83.440002,82.800003,83.180000,62.050838,2558000
2017-07-12,83.830002,84.269997,83.709999,83.980003,62.647614,2946600
2017-07-13,83.820000,83.980003,83.349998,83.370003,62.192593,2175400
2017-07-14,83.849998,84.129997,83.680000,83.839996,62.543194,1377300
2017-07-17,83.839996,84.099998,83.599998,84.029999,62.684921,1594100
2017-07-18,84.070000,84.279999,83.930000,84.190002,62.804268,1653500
2017-07-19,84.269997,84.430000,83.959999,84.349998,62.923630,1790100
2017-07-20,84.599998,84.949997,84.239998,84.930000,63.356308,1971700
2017-07-21,84.889999,85.230003,84.379997,85.199997,63.557728,2494400
2017-07-24,85.239998,85.279999,84.330002,84.550003,63.072830,2541700
2017-07-25,84.570000,84.660004,83.690002,83.809998,62.520802,1926900
2017-07-26,83.680000,84.459999,83.599998,84.449997,62.998238,1702400
2017-07-27,84.199997,85.050003,84.050003,85.050003,63.445827,2179600
2017-07-28,85.010002,85.230003,84.580002,84.910004,63.341373,2089800
2017-07-31,84.900002,85.330002,84.660004,85.120003,63.498020,2435100
2017-08-01,85.150002,85.519997,85.050003,85.169998,63.535332,2825100
2017-08-02,85.010002,85.739998,84.650002,85.739998,63.960575,2131600
2017-08-03,86.000000,86.519997,85.510002,86.510002,64.534966,2915600
2017-08-04,86.169998,86.580002,85.970001,86.480003,64.512596,2599600
2017-08-07,86.459999,86.550003,86.000000,86.260002,64.348442,2026400
2017-08-08,86.099998,86.610001,86.010002,86.599998,64.602112,2045800
2017-08-09,86.760002,86.900002,86.010002,86.199997,64.303696,2115400
2017-08-10,86.199997,86.599998,85.760002,86.389999,64.445457,2140900
2017-08-11,86.470001,86.470001,85.160004,85.699997,63.930725,2516800
2017-08-14,85.820000,86.269997,85.639999,86.120003,64.244034,2473800
2017-08-15,85.910004,86.970001,85.889999,86.889999,64.818443,1876300
2017-08-16,85.970001,86.370003,85.709999,86.309998,65.052071,1804200
2017-08-17,86.309998,86.449997,85.800003,85.870003,64.720474,2055000
2017-08-18,85.750000,86.830002,85.610001,86.379997,65.104828,2853800
2017-08-21,86.500000,86.680000,86.160004,86.580002,65.255585,2090600
2017-08-22,86.580002,86.709999,86.110001,86.550003,65.232971,1719800
2017-08-23,86.570000,86.989998,86.139999,86.879997,65.481682,1931900
2017-08-24,86.739998,87.120003,86.570000,86.769997,65.398781,1984900
2017-08-25,87.389999,87.550003,86.970001,87.230003,65.745483,1708900
2017-08-28,87.370003,87.500000,86.970001,87.419998,65.888672,1185400
2017-08-29,87.550003,87.949997,87.330002,87.500000,65.948982,1828300
2017-08-30,87.320000,87.580002,87.070000,87.279999,65.783150,1425100
2017-08-31,87.379997,87.529999,87.220001,87.300003,65.798264,2188300
2017-09-01,87.480003,87.550003,86.730003,87.089996,65.639946,1364000
2017-09-05,87.199997,87.529999,86.790001,87.410004,65.881149,1910400
2017-09-06,87.519997,87.620003,86.809998,86.989998,65.564590,1978900
2017-09-07,87.089996,87.559998,86.870003,87.339996,65.828400,1943800
2017-09-08,87.370003,88.029999,87.209999,87.779999,66.160019,1938300
2017-09-11,87.639999,88.400002,87.470001,88.339996,66.582108,1674700
2017-09-12,88.300003,88.339996,86.720001,87.279999,65.783150,2900200
2017-09-13,87.220001,87.239998,86.660004,86.769997,65.398781,2544800
2017-09-14,86.739998,87.580002,86.529999,87.500000,65.948982,2755900
2017-09-15,87.500000,87.779999,86.820000,87.300003,65.798264,6419300
2017-09-18,87.300003,87.309998,85.529999,86.059998,64.863647,2868200
2017-09-19,86.059998,86.269997,85.879997,85.980003,64.803352,1954300
2017-09-20,86.209999,86.250000,84.860001,85.199997,64.215477,2982700
2017-09-21,85.220001,85.660004,85.000000,85.160004,64.185318,2456100
2017-09-22,85.360001,85.400002,84.220001,84.250000,63.499454,1799200
2017-09-25,84.250000,85.139999,84.239998,85.139999,64.170250,2117300
2017-09-26,85.040001,85.160004,84.690002,84.820000,63.929047,1570600
2017-09-27,84.400002,84.599998,83.519997,83.940002,63.265789,2318900
2017-09-28,83.650002,84.500000,83.400002,84.260002,63.506992,2365800
2017-09-29,84.129997,84.220001,83.599998,83.919998,63.250725,2384500
2017-10-02,84.070000,84.620003,83.779999,84.360001,63.582375,2601100
2017-10-03,84.199997,84.230003,83.519997,83.849998,63.197968,1926600
2017-10-04,83.900002,84.480003,83.650002,84.470001,63.665260,3088800
2017-10-05,84.559998,84.720001,84.139999,84.290001,63.529579,2060300
2017-10-06,84.010002,84.739998,83.800003,84.639999,63.793396,2744500
2017-10-09,84.750000,85.250000,84.690002,84.820000,63.929047,2720900
2017-10-10,85.000000,85.879997,84.800003,85.790001,64.660156,1593100
2017-10-11,85.800003,86.680000,85.760002,86.389999,65.112389,2235900
2017-10-12,86.449997,87.070000,86.400002,86.970001,65.549515,2272900
2017-10-13,87.180000,87.599998,86.750000,86.790001,65.413864,2073000
2017-10-16,86.699997,87.150002,86.419998,87.129997,65.670120,1728700
2017-10-17,86.989998,87.589996,86.779999,87.510002,65.956497,2355500
2017-10-18,87.339996,87.459999,86.510002,87.040001,65.602280,1530600
2017-10-19,87.019997,87.879997,87.010002,87.849998,66.212776,1672500
2017-10-20,87.730003,88.059998,87.519997,87.930000,66.273071,2033600
2017-10-23,87.959999,88.000000,86.879997,87.540001,65.979134,2609600
2017-10-24,87.650002,88.059998,87.339996,87.989998,66.318298,2197800
2017-10-25,87.610001,87.959999,86.709999,87.750000,66.137405,2268400
2017-10-26,88.120003,88.550003,87.349998,87.360001,65.843475,2708400
2017-10-27,87.230003,88.519997,87.120003,87.949997,66.288155,2059800
2017-10-30,87.779999,88.199997,87.680000,88.110001,66.408745,2262300
2017-10-31,88.000000,88.639999,87.800003,88.309998,66.559502,2666700
2017-11-01,88.559998,88.559998,87.559998,87.860001,66.220329,2023900
2017-11-02,88.000000,88.730003,87.669998,88.559998,66.747910,3518300
2017-11-03,88.279999,89.500000,88.160004,88.519997,66.717758,2405200
2017-11-06,88.360001,88.720001,87.769997,87.870003,66.227867,2557000
2017-11-07,88.080002,89.430000,87.610001,89.360001,67.350868,2315000
2017-11-08,89.150002,89.680000,88.669998,89.230003,67.252914,3057700
2017-11-09,89.059998,89.739998,88.910004,89.629997,67.554367,2101600
2017-11-10,89.099998,89.290001,88.650002,88.889999,66.996613,2216700
2017-11-13,89.059998,90.220001,88.980003,89.879997,67.742790,2626600
2017-11-14,89.680000,91.139999,89.610001,91.089996,68.654785,2713100
2017-11-15,91.379997,91.800003,90.419998,90.580002,68.270393,3304400
2017-11-16,89.750000,89.910004,88.879997,89.209999,67.905029,3205200
2017-11-17,88.860001,89.279999,88.449997,88.519997,67.379799,2652700
2017-11-20,88.620003,88.989998,88.320000,88.660004,67.486382,2558500
2017-11-21,88.760002,89.199997,88.660004,88.809998,67.600548,2467000
2017-11-22,88.739998,88.889999,88.290001,88.629997,67.463562,1653000
2017-11-24,88.820000,89.080002,88.639999,88.779999,67.577721,936300
2017-11-27,88.889999,89.019997,88.410004,88.879997,67.653847,3129300
2017-11-28,89.080002,89.400002,88.680000,88.980003,67.729965,3013700
2017-11-29,88.769997,89.349998,88.320000,89.000000,67.745201,2917800
2017-11-30,89.150002,89.410004,88.739998,89.180000,67.882187,4393100
2017-12-01,89.389999,89.720001,88.190002,88.730003,67.539658,3088500
2017-12-04,89.070000,89.430000,88.430000,88.620003,67.455925,2552300
2017-12-05,88.709999,88.750000,87.449997,87.959999,66.953568,3261300
2017-12-06,88.230003,88.500000,87.879997,88.309998,67.219963,1970100
2017-12-07,88.250000,88.269997,87.540001,87.900002,66.907883,2346000
2017-12-08,87.570000,88.120003,87.570000,88.050003,67.022072,2701700
2017-12-11,87.809998,88.389999,87.550003,88.370003,67.265625,2244200
2017-12-12,88.010002,88.230003,87.070000,87.129997,66.321777,2787200
2017-12-13,87.430000,88.190002,87.150002,87.559998,66.649078,3938200
2017-12-14,87.519997,87.839996,86.720001,87.559998,66.649078,2437800
2017-12-15,87.709999,88.160004,87.550003,87.839996,66.862183,6372800
2017-12-18,88.000000,88.150002,86.400002,86.540001,65.872673,3166000
2017-12-19,86.660004,86.730003,84.930000,85.010002,64.708061,2635100
2017-12-20,85.000000,85.400002,84.430000,84.489998,64.312248,2011400
2017-12-21,84.449997,84.769997,83.750000,84.300003,64.167633,2966400
2017-12-22,84.400002,84.620003,83.970001,84.169998,64.068649,1683900
2017-12-26,84.260002,84.379997,83.559998,83.599998,63.634796,1223100
2017-12-27,83.639999,84.099998,83.639999,83.980003,63.924038,1663700
2017-12-28,84.080002,84.260002,83.860001,83.989998,63.931664,1904400
2017-12-29,84.279999,84.580002,83.980003,84.110001,64.022995,2210700
2018-01-02,84.279999,84.419998,82.900002,83.230003,63.353149,3167900
2018-01-03,83.059998,83.790001,82.839996,82.970001,63.155258,2690200
2018-01-04,82.820000,83.230003,82.150002,82.320000,62.660473,2475800
2018-01-05,82.510002,82.750000,81.349998,81.940002,62.371235,3827200
2018-01-08,81.980003,82.309998,81.720001,82.199997,62.569160,3560000
2018-01-09,82.029999,82.029999,80.959999,81.239998,61.838409,2781700
2018-01-10,80.779999,80.949997,79.919998,80.110001,60.978268,3227200
2018-01-11,79.510002,80.139999,79.000000,79.279999,60.346504,4087200
2018-01-12,79.000000,79.610001,78.550003,78.900002,60.057251,3211400
2018-01-16,79.089996,79.269997,78.209999,78.419998,59.691883,4375300
2018-01-17,78.360001,78.699997,77.620003,78.410004,59.684269,4125200
